filepath,ground_truth,system_verdict,final_score,phase,consensus_rate,analysis_time,score_Audio (Mel+CNN),score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality),score_Visual (Spatial)
French government collapses as MPs vote to oust prime minister ｜ BBC News_n-jo7tfhsvQ_seq003_label_real.npz,Real,Real,0.3395875254762359,iterative,0.8,15.8980131149292,0.000995910493656993,0.0,0.9885693192481995,0.09089190512895584,0.37058714032173157
"Create AI Videos & Images in HeyGen with Veo3, Runway Gen-4, Kling & More! (Step-by-Step)_mZcridN9hq0_seq002_label_fake.npz",Fake,Deepfake,0.6210469355806708,iterative,0.6,1.3217689990997314,0.020377133041620255,0.0,0.9890747666358948,0.967684268951416,0.8859241008758545
How to Make AI Music and a Virtual Band in Under 10 Minutes_cT9Uw2jzMUc_seq001_label_fake.npz,Fake,Real,0.39913080115802585,iterative,0.6,1.3524610996246338,0.0048569077625870705,1.0,0.7257989645004272,0.006146283354610205,0.07861633598804474
French government collapses as MPs vote to oust prime minister ｜ BBC News_n-jo7tfhsvQ_seq004_label_real.npz,Real,Deepfake,0.47347734406939707,iterative,0.6,1.3934319019317627,0.001326212310232222,0.0,0.9966341853141785,0.9839710593223572,0.13662827014923096
At least 13 dead in Nepal after protests against social media ban ｜ BBC News__dSRnKy10lA_seq002_label_real.npz,Real,Deepfake,0.5099174149800092,iterative,0.6,1.3385229110717773,0.007435108534991741,0.0,0.9334737658500671,0.7308655381202698,0.6463029980659485
We STOLE MrBeast’s Secret Growth Hack… and THIS Happened_pxPzCFM0qE4_seq001_label_fake.npz,Fake,Real,0.4199910659692251,iterative,0.6,1.3870880603790283,0.002299043582752347,0.99951171875,0.014034288935363293,0.9863380789756775,0.09483838826417923
Israel intensifies strikes on Gaza City ｜ BBC News_AEu6wVp_Edw_seq002_label_real.npz,Real,Real,0.003757629543542862,quick,1.0,0,,2.205371856689453e-06,0.0024035079404711723,0.008867175318300724,
How to Go VIRAL on Social Media Using AI_nDZQKKpAbWo_seq004_label_fake.npz,Fake,Deepfake,0.9939803083737692,quick,0.6,0,,1.0,0.9961580634117126,0.9857828617095947,
Jerusalem shooting： Six killed by Palestinian gunmen ｜ BBC News_8Xeh7TVPp-M_seq003_label_real.npz,Real,Deepfake,0.491874671750702,iterative,0.6,1.3583507537841797,0.0019917539320886135,0.0,0.9872294664382935,0.3264941871166229,0.8973485231399536
Prince Harry lays wreath in memory of late Queen ｜ BBC News_lGO9j_x8gp0_seq001_label_real.npz,Real,Real,0.18897145381197333,iterative,0.8,1.4081292152404785,0.014898237772285938,2.384185791015625e-07,0.011111880652606487,0.8434960842132568,0.07629741728305817
How to Go VIRAL on Social Media Using AI_nDZQKKpAbWo_seq003_label_fake.npz,Fake,Deepfake,0.9913854996363322,quick,0.6,0,,0.99755859375,0.9943084120750427,0.9822894930839539,
We Created the World's Most Realistic Digital Twin_m0fdgkJGxHs_seq000_label_fake.npz,Fake,Deepfake,0.6042864860384725,iterative,0.6,1.411369800567627,0.003080865601077676,5.960464477539063e-08,0.9950981736183167,0.9784090518951416,0.7968399524688721
