split,filepath,ground_truth,score
val,ar_11_label_real.npz,Real,0.046110
val,ar_16_label_real.npz,Real,0.042070
val,ar_18_label_real.npz,Real,0.070287
val,ar_22_to_zh_Xtts_label_fake.npz,Fake,0.893401
val,ar_34_label_real.npz,Real,0.052433
val,ar_35_label_real.npz,Real,0.050788
val,ar_36_label_real.npz,Real,0.060184
val,ar_37_to_zh_Xtts_label_fake.npz,Fake,0.924659
val,ar_50_to_zh_MicroTts_label_fake.npz,Fake,0.902186
val,ar_62_to_zh_MicroTts_label_fake.npz,Fake,0.945357
val,ar_63_label_real.npz,Real,0.036176
val,ar_64_label_real.npz,Real,0.196675
val,ar_66_label_real.npz,Real,0.315116
val,ar_67_label_real.npz,Real,0.226562
val,ar_70_label_real.npz,Real,0.044957
val,en_105_label_real.npz,Real,0.036163
val,en_105_to_ja_Vall_label_fake.npz,Fake,0.911484
val,en_107_to_zh_Vall_label_fake.npz,Fake,0.937581
val,en_115_label_real.npz,Real,0.040754
val,en_11_label_real.npz,Real,0.032732
val,en_120_to_zh_Xtts_label_fake.npz,Fake,0.966902
val,en_128_label_real.npz,Real,0.059157
val,en_21_label_real.npz,Real,0.032851
val,en_21_to_fr_Tacotron_label_fake.npz,Fake,0.907723
val,en_27_to_es_Xtts_label_fake.npz,Fake,0.973088
val,en_31_to_fr_Tacotron_label_fake.npz,Fake,0.961646
val,en_32_label_real.npz,Real,0.853805
val,en_34_to_fr_MicroTts_label_fake.npz,Fake,0.965647
val,en_35_label_real.npz,Real,0.042256
val,en_36_to_ru_MicroTts_label_fake.npz,Fake,0.928835
val,en_37_label_real.npz,Real,0.031694
val,en_39_label_real.npz,Real,0.037491
val,en_39_to_fr_Tacotron_label_fake.npz,Fake,0.782261
val,en_3_label_real.npz,Real,0.047148
val,en_3_to_es_MicroTts_label_fake.npz,Fake,0.452750
val,en_43_to_ja_Tacotron_label_fake.npz,Fake,0.937708
val,en_45_to_es_Bark_label_fake.npz,Fake,0.970493
val,en_45_to_fr_Xtts_label_fake.npz,Fake,0.964704
val,en_49_label_real.npz,Real,0.056329
val,en_53_label_real.npz,Real,0.051686
val,en_55_label_real.npz,Real,0.044299
val,en_58_to_ru_Xtts_label_fake.npz,Fake,0.954961
val,en_5_to_zh_Bark_label_fake.npz,Fake,0.142641
val,en_5_to_zh_Tacotron_label_fake.npz,Fake,0.675074
val,en_67_to_ar_MicroTts_label_fake.npz,Fake,0.940236
val,en_68_to_zh_MicroTts_label_fake.npz,Fake,0.934005
val,en_71_to_ru_Xtts_label_fake.npz,Fake,0.960565
val,en_76_to_ja_MicroTts_label_fake.npz,Fake,0.947717
val,en_79_label_real.npz,Real,0.045962
val,en_80_label_real.npz,Real,0.041554
val,en_80_to_ar_MicroTts_label_fake.npz,Fake,0.926915
val,en_82_label_real.npz,Real,0.051526
val,en_88_label_real.npz,Real,0.046725
val,en_89_label_real.npz,Real,0.051906
val,en_90_to_zh_Xtts_label_fake.npz,Fake,0.937411
val,en_92_label_real.npz,Real,0.041877
val,en_94_label_real.npz,Real,0.042001
val,en_94_to_es_MicroTts_label_fake.npz,Fake,0.967656
val,en_95_to_ru_MicroTts_label_fake.npz,Fake,0.943085
val,en_9_to_zh_Vall_label_fake.npz,Fake,0.968469
val,es_100_label_real.npz,Real,0.047416
