filepath,ground_truth,system_verdict,final_score,score_Visual (Spatial),score_Audio (Mel+CNN),score_Audio Forensics (ECAPA),score_Cross-Modal (Lip-Sync),score_Facial Biometric (Quality)
ru_120_to_zh_Bark_label_fake.npz,Fake,Deepfake,0.955864,0.846485,0.995076,0.934802,0.980364,0.985968
en_78_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.976013,0.926523,0.968050,0.973588,0.983823,0.985108
zh_19_label_real.npz,Real,Real,0.129639,0.064027,0.007357,0.270919,0.019384,0.006338
zh_66_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.705872,0.894210,0.879389,0.395871,0.945554,0.984271
ar_41_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.959708,0.812638,0.871933,0.959511,0.986101,0.985971
en_17_to_ru_Xtts_label_fake.npz,Fake,Deepfake,0.766721,0.907651,0.831459,0.524675,0.970652,0.990276
ru_40_to_ar_Xtts_label_fake.npz,Fake,Deepfake,0.953668,0.870837,0.973095,0.930571,0.975989,0.986044
es_118_to_en_Bark_label_fake.npz,Fake,Deepfake,0.617038,0.923560,0.914171,0.180408,0.981546,0.988038
ru_27_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.966123,0.851465,0.992437,0.954571,0.976308,0.990686
es_110_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.920672,0.800769,0.960355,0.954324,0.977336,0.872675
es_121_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.935328,0.839594,0.996749,0.906330,0.905980,0.985897
zh_7_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.966859,0.941744,0.978700,0.956695,0.948499,0.987070
zh_114_to_ru_Bark_label_fake.npz,Fake,Deepfake,0.900072,0.584406,0.903856,0.964338,0.979523,0.839298
fr_14_to_zh_MicroTts_label_fake.npz,Fake,Deepfake,0.971326,0.917984,0.991083,0.954768,0.991601,0.991621
en_124_to_ru_MicroTts_label_fake.npz,Fake,Deepfake,0.901049,0.543841,0.936164,0.968346,0.879796,0.866609
ru_79_to_fr_Xtts_label_fake.npz,Fake,Deepfake,0.954081,0.929453,0.906813,0.930009,0.984588,0.986585
ja_21_to_zh_Vall_label_fake.npz,Fake,Deepfake,0.555651,0.873512,0.900690,0.050940,0.975028,0.990042
es_79_to_fr_Bark_label_fake.npz,Fake,Deepfake,0.969021,0.831477,0.981725,0.966311,0.981199,0.986860
ru_109_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.966405,0.923876,0.981147,0.952880,0.978326,0.984359
fr_12_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.972637,0.922165,0.978440,0.959477,0.985570,0.992242
es_51_to_ja_Bark_label_fake.npz,Fake,Deepfake,0.975750,0.947528,0.993396,0.969491,0.952777,0.991871
en_127_to_es_Xtts_label_fake.npz,Fake,Deepfake,0.960910,0.923331,0.941455,0.941970,0.987962,0.985681
en_5_to_es_Bark_label_fake.npz,Fake,Deepfake,0.787140,0.219094,0.979316,0.910696,0.631456,0.726458
ja_34_to_en_Bark_label_fake.npz,Fake,Deepfake,0.927480,0.918581,0.977898,0.861094,0.982493,0.991184
fr_17_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.642738,0.471521,0.917722,0.966609,0.073914,0.374029
en_42_to_zh_Xtts_label_fake.npz,Fake,Deepfake,0.951883,0.910304,0.839377,0.934808,0.977234,0.988607
ja_25_label_real.npz,Real,Real,0.084682,0.134509,0.060256,0.097885,0.052714,0.073211
zh_16_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.965461,0.947576,0.994918,0.952670,0.943559,0.986510
es_96_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.964370,0.926929,0.947357,0.950300,0.977674,0.986439
ru_108_to_es_MicroTts_label_fake.npz,Fake,Deepfake,0.947244,0.869888,0.998498,0.917345,0.958378,0.986233
ja_2_to_zh_Tacotron_label_fake.npz,Fake,Deepfake,0.973631,0.907981,0.990767,0.963930,0.981681,0.990734
ja_54_to_en_Tacotron_label_fake.npz,Fake,Deepfake,0.979639,0.937322,0.984773,0.979320,0.979060,0.985526
es_7_label_real.npz,Real,Real,0.037026,0.164697,0.019803,0.039381,0.043772,0.016293
en_124_to_ar_MicroTts_label_fake.npz,Fake,Deepfake,0.909469,0.561680,0.968207,0.946641,0.894366,0.907284
ru_96_to_en_MicroTts_label_fake.npz,Fake,Deepfake,0.969277,0.949490,0.995968,0.950266,0.982995,0.988815
en_85_to_fr_Tacotron_label_fake.npz,Fake,Deepfake,0.930616,0.631718,0.956664,0.958420,0.922098,0.936279
